epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.566,0,110.143,0,0,0,0,0,0,232.572,0,0.00038,0.00038,0.00038
2,310.024,0,85.7472,0,0,0,0,0,0,194.138,0,0.000764556,0.000764556,0.000764556
3,452.637,0,71.832,0,0,0,0,0,0,125.424,0,0.00113327,0.00113327,0.00113327
4,592.311,0,64.1314,0,0,0,0,0,0,97.3333,0,0.00148615,0.00148615,0.00148615
5,736.025,0,55.2112,0,0,0,0,0,0,70.5222,0,0.00182318,0.00182318,0.00182318
6,880.939,0,47.557,0,0,0,0,0,0,55.2484,0,0.001802,0.001802,0.001802
7,1021.45,0,40.6099,0,0,0,0,0,0,235.479,0,0.0017624,0.0017624,0.0017624
8,1167.3,0,34.5002,0,0,0,0,0,0,196.893,0,0.0017228,0.0017228,0.0017228
9,1305.5,0,29.3121,0,0,0,0,0,0,299.255,0,0.0016832,0.0016832,0.0016832
10,1452.46,0,24.2263,0,0,0,0,0,0,42.6356,0,0.0016436,0.0016436,0.0016436
11,1578.35,0,20.4008,0,0,0,0,0,0,35.3127,0,0.001604,0.001604,0.001604
12,1704.24,0,16.8841,0,0,0,0,0,0,33.5562,0,0.0015644,0.0015644,0.0015644
13,1834.91,0,13.9332,0,0,0,0,0,0,25.714,0,0.0015248,0.0015248,0.0015248
14,1963.84,0,11.3633,0,0,0,0,0,0,21.5083,0,0.0014852,0.0014852,0.0014852
15,2093.68,0,9.31335,0,0,0,0,0,0,17.2863,0,0.0014456,0.0014456,0.0014456
16,2222.32,0,7.51205,0,0,0,0,0,0,14.3345,0,0.001406,0.001406,0.001406
17,2350.17,0,6.05729,0,0,0,0,0,0,11.9138,0,0.0013664,0.0013664,0.0013664
18,2478.83,0,4.86803,0,0,0,0,0,0,14.9071,0,0.0013268,0.0013268,0.0013268
19,2609.47,0,3.91123,0,0,0,0,0,0,38.0584,0,0.0012872,0.0012872,0.0012872
20,2738.58,0,3.14256,0,0,0,0,0,0,16.1433,0,0.0012476,0.0012476,0.0012476
21,2869.44,0,2.5341,0,0,0,0,0,0,4.82094,0,0.001208,0.001208,0.001208
22,3001.62,0,2.04849,0,0,0,0,0,0,3.96117,0,0.0011684,0.0011684,0.0011684
23,3129.45,0,1.66187,0,0,0,0,0,0,3.24196,0,0.0011288,0.0011288,0.0011288
24,3258.33,0,1.35534,0,0,0,0,0,0,2.58423,0,0.0010892,0.0010892,0.0010892
25,3386.31,0,1.13377,0,0,0,0,0,0,2.09654,0,0.0010496,0.0010496,0.0010496
26,3512.49,0,0.93394,0,0,0,0,0,0,1.78486,0,0.00101,0.00101,0.00101
27,3641.66,0,0.77988,0,0,0,0,0,0,1.57849,0,0.0009704,0.0009704,0.0009704
28,3775.74,0,0.64698,0,0,0,0,0,0,1.23731,0,0.0009308,0.0009308,0.0009308
29,3918.23,0,0.53878,0,0,0,0,0,0,0.99813,0,0.0008912,0.0008912,0.0008912
30,4054.22,0,0.45132,0,0,0,0,0,0,0.86971,0,0.0008516,0.0008516,0.0008516
31,4197.51,0,0.38622,0,0,0,0,0,0,0.68317,0,0.000812,0.000812,0.000812
32,4330.75,0,0.32594,0,0,0,0,0,0,0.62497,0,0.0007724,0.0007724,0.0007724
33,4478.12,0,0.28597,0,0,0,0,0,0,0.546,0,0.0007328,0.0007328,0.0007328
