epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1671.01,1.04057,2.64501,1.19071,0.40443,0.44318,0.37988,0.2437,1.21404,9.79408,1.36566,0.000553408,0.000553408,0.000553408
2,3503.12,1.21059,2.02581,1.30366,0.42818,0.34171,0.32375,0.183,1.46119,4.98847,1.64737,0.00108711,0.00108711,0.00108711
3,5336.49,1.28112,1.88027,1.38231,0.50664,0.41359,0.41509,0.26427,1.33007,4.08537,1.50587,0.00159882,0.00159882,0.00159882
4,7239.56,1.22313,1.68856,1.33466,0.34858,0.52035,0.42331,0.25876,1.23091,3.07552,1.41283,0.00156798,0.00156798,0.00156798
5,9267.9,1.19049,1.60251,1.31068,0.52816,0.56953,0.5119,0.33084,1.15435,3.15455,1.33104,0.00153497,0.00153497,0.00153497
6,75108.7,1.15736,1.52902,1.28114,0.60952,0.47384,0.48644,0.30326,1.23592,3.23943,1.43872,0.00150197,0.00150197,0.00150197
7,77276.7,1.1067,1.50368,1.26372,0.58152,0.52255,0.5389,0.38245,1.09148,2.59488,1.26039,0.00146896,0.00146896,0.00146896
8,79287.9,1.09222,1.46395,1.24654,0.56999,0.56468,0.57477,0.40248,1.02677,2.32949,1.23959,0.00143595,0.00143595,0.00143595
9,81455.4,1.07259,1.43349,1.24559,0.56113,0.59811,0.56891,0.4084,0.97365,2.66584,1.18284,0.00140295,0.00140295,0.00140295
10,83321.5,1.05175,1.41246,1.22194,0.58497,0.60586,0.58311,0.42856,0.9265,2.85947,1.17316,0.00136994,0.00136994,0.00136994
